newsentences,sentiment,huliu sentiment label,sentiment,jokers sentiment label,sentiment,nrc sentiment label,sentiment,sentiwoord sentiment label,R sentiment,all,huliu sentiment label,jokers sentiment label,nrc sentiment label,sentiwoord sentiment label,R sentiment
It use to work just fine,0.816496581,Positive,0.204124145,Positive,0,Neutral,0.289175872,Positive,Positive,Y,,,,,
Not user friendly,-0.577350269,Nagative,-0.433012702,Nagative,-0.577350269,Nagative,-0.108253175,Nagative,Neutral,,1,1,1,1,0
Soon as hubby needs a new phone we will say bye bye to att,0,Neutral,0.213808994,Positive,0,Neutral,-0.011135885,Nagative,Neutral,,1,0,1,2,1
 Even a 5 year old can make a better app,0.333333333,Positive,0.266666667,Positive,0,Neutral,0.322222222,Positive,Positive,,0,0,1,0,0
This may be the end of our years-long relationship,0,Neutral,0,Neutral,0,Neutral,0,Neutral,Neutral,,1,1,1,1,1
9Wish i could rate it Zero ??????,0,Neutral,0.326598632,Positive,0,Neutral,0.153093109,Positive,Sarcasm,,1,0,1,0,1
not bad ,0.707106781,Positive,0.530330086,Positive,0.707106781,Positive,0.366180297,Positive,Positive,Y,,,,,
Get rid of the CrApple ads,0,Neutral,0,Neutral,0,Neutral,-0.030618622,Nagative,Neutral,,1,1,1,2,1
t's been going on for a while and I'm sick of calling,-0.288675135,Nagative,-0.216506351,Nagative,-0.288675135,Nagative,-0.216506351,Nagative,Negative,Y,,,,,
Irritating!!,-1,Nagative,-0.75,Nagative,-1,Nagative,-0.5,Nagative,Negative,Y,,,,,
I hate this app it's the worst of the worst,-0.948683298,Nagative,-0.553398591,Nagative,-0.316227766,Nagative,-0.592927061,Nagative,Very Negative,Y,,,,,
Without a doubt the worst app I have ever used which explains a lot because it came from the worst company I have ever had to do business with,-0.557086015,Nagative,-0.324966842,Nagative,-0.185695338,Nagative,-0.25533109,Nagative,Very Negative,,1,1,1,1,1
I'm going too see if I can file a report too them about these issues,-0.25819889,Nagative,0,Neutral,0,Neutral,-0.045184806,Nagative,Negative,,2,1,1,2,2
This app is hands down the worst thing I've ever used,0,Neutral,-0.150755672,Nagative,0,Neutral,-0.179022361,Nagative,Very Negative,Y,,,,,
Super disappointing app from such a good cell provider,0.333333333,Positive,0.166666667,Positive,0,Neutral,0.239583333,Positive,Positive,,0,0,2,0,0
10302This new app is not user friendlyuser experience1 selected 1,0,Neutral,0.282842712,Positive,0,Neutral,-0.058925565,Nagative,Neutral,,1,0,1,0,1
10095You claim to be the best but the reality is different,0.747748135,Positive,0.373874067,Positive,0,Neutral,0.420608326,Positive,Neutral,,0,0,1,0,1
??,0,Neutral,0,Neutral,0,Neutral,0,Neutral,Sarcasm,,,,,,
Very dissatisfied!,-1.272792206,Nagative,-0.954594155,Nagative,0,Neutral,0,Neutral,Very Negative,,2,2,1,1,2
I am not satisfactory,-0.5,Nagative,-0.4,Nagative,0,Neutral,0,Neutral,Neutral,,2,2,1,1,1
Wastage of time!,0,Neutral,0,Neutral,0,Neutral,0.360843918,Positive,Neutral,,1,1,1,0,1
Cant use it internationally !,0,Neutral,0,Neutral,0,Neutral,0.041666667,Positive,Negative,,1,1,1,0,2
stupid app,-0.707106781,Nagative,-0.707106781,Nagative,-0.707106781,Nagative,0,Neutral,Negative,,1,1,1,0,1
Never gonna uss indigo,0,Neutral,0,Neutral,0,Neutral,0,Neutral,Neutral,Y,,,,,
Very Bad ,-1.272792206,Nagative,-0.954594155,Nagative,-1.272792206,Nagative,-0.659124535,Nagative,Very Negative,Y,,,,,
They fooled us to show much costly airfare,-0.989949494,Nagative,-0.601040764,Nagative,0,Neutral,0.139211648,Positive,Very Negative,,2,2,1,0,2
